	Janeiro	Feveiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro
(+) MRR Ativo	R$ 1.156.850	R$ 1.267.734	R$ 1.368.637	R$ 1.485.460	R$ 1.591.769	R$ 1.688.510	R$ 1.806.544	R$ 1.913.955	R$ 2.011.699	R$ 2.130.646	R$ 2.238.888	R$ 2.337.388
(+) Receita Pontual	R$ 240.000	R$ 280.000	R$ 270.000	R$ 288.333	R$ 306.667	R$ 325.000	R$ 343.333	R$ 361.667	R$ 380.000	R$ 398.333	R$ 416.667	R$ 435.000
(+) Outras Receitas	R$ 24.767	R$ 21.600	R$ 20.267	R$ 34.037	R$ 34.037	R$ 25.703	R$ 45.973	R$ 45.973	R$ 49.587	R$ 87.927	R$ 87.927	R$ 87.927
(=) Receita Total Faturavel	R$ 1.421.617	R$ 1.569.334	R$ 1.658.904	R$ 1.807.830	R$ 1.932.472	R$ 2.039.213	R$ 2.195.850	R$ 2.321.595	R$ 2.441.285	R$ 2.616.906	R$ 2.743.481	R$ 2.860.315
(-) Inadimplência	R$ 99.513	R$ 109.853	R$ 116.123	R$ 108.470	R$ 115.948	R$ 122.353	R$ 131.751	R$ 139.296	R$ 146.477	R$ 157.014	R$ 164.609	R$ 171.619
(-) Impostos Sob Receita	R$ 146.247	R$ 160.603	R$ 169.308	R$ 185.757	R$ 198.001	R$ 208.486	R$ 223.872	R$ 236.224	R$ 247.981	R$ 265.233	R$ 277.666	R$ 289.143
(=) Receita Líquida	R$ 1.175.857	R$ 1.298.878	R$ 1.373.473	R$ 1.513.603	R$ 1.618.523	R$ 1.708.374	R$ 1.840.227	R$ 1.946.075	R$ 2.046.827	R$ 2.194.659	R$ 2.301.206	R$ 2.399.553
(-) CSV	R$ 392.504	R$ 407.706	R$ 436.438	R$ 475.848	R$ 497.651	R$ 516.746	R$ 577.633	R$ 602.414	R$ 616.990	R$ 659.609	R$ 672.624	R$ 697.685
(=) Margem Bruta	R$ 783.352	R$ 891.171	R$ 937.036	R$ 1.037.755	R$ 1.120.872	R$ 1.191.628	R$ 1.262.594	R$ 1.343.661	R$ 1.429.837	R$ 1.535.050	R$ 1.628.582	R$ 1.701.868
(-) CAC	R$ 287.296	R$ 290.796	R$ 316.796	R$ 336.374	R$ 421.374	R$ 361.374	R$ 452.725	R$ 370.725	R$ 383.725	R$ 419.577	R$ 404.577	R$ 427.577
(-) SG&A	R$ 410.130	R$ 296.477	R$ 290.518	R$ 296.633	R$ 299.429	R$ 303.725	R$ 437.438	R$ 309.683	R$ 311.030	R$ 335.494	R$ 347.141	R$ 369.337
(=) EBITDA	R$ 85.927	R$ 303.899	R$ 329.722	R$ 404.749	R$ 400.070	R$ 526.529	R$ 372.431	R$ 663.253	R$ 735.082	R$ 779.979	R$ 876.864	R$ 904.954
(-) IR + CSLL	R$ 29.215	R$ 103.325	R$ 112.105	R$ 137.614	R$ 136.024	R$ 179.020	R$ 126.627	R$ 225.506	R$ 249.928	R$ 265.193	R$ 298.134	R$ 307.684
(-) CAPEX	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500	R$ 32.500
(=) Geração de Caixa	R$ 24.212	R$ 168.073	R$ 185.117	R$ 234.634	R$ 231.546	R$ 315.009	R$ 213.304	R$ 405.247	R$ 452.654	R$ 482.286	R$ 546.230	R$ 564.770
