Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Total,,,,,,R$ 98.931,,,1.133,R$ 87,182,16%,"R$ 543,58",120,11%,R$ 824,,87,"72,50%","R$ 1.137,14",7,6,"R$ 14.132,99",22,10,11%,R$ 9.893
Ativo,120227781212760450,TP546 - vv-crators-Roberto-natural-tech-simples3-sabe-uma-coisa - adc81 - 18.06,https://fb.me/209oHee6ZIx1qGJ,19/06/2025,Ativo,R$ 23.976,"0,87%",R$ 85,200,R$ 120,49,25%,"R$ 489,31",29,15%,R$ 827,"51,72%",22,"75,86%","R$ 1.089,82",4,2,"R$ 5.994,01",28,4,18%,R$ 5.994
Ativo,120234676163910450,TP724 - vv - REELS 2 - HOOK1 -  - 03.09 — Cópia,https://fb.me/31GoHtoi1MwpSJ5,02/10/2025,Ativo,R$ 10.347,"1,35%",R$ 107,120,R$ 86,23,19%,"R$ 449,86",14,12%,R$ 739,"64,29%",8,"57,14%","R$ 1.293,34",,,,,0,0%,-
Ativo,120232961198100450,TP731 - vv-creators-criativo_invisível- hook 4 -  - 03.09,https://fb.me/1YaJ6mq0SjpgvZj,03/09/2025,Ativo,R$ 5.836,"1,21%",R$ 70,172,R$ 34,22,13%,"R$ 265,26",10,6%,R$ 584,"40,00%",6,"60,00%","R$ 972,61",,1,,6,1,17%,R$ 5.836
Pausado,120232960242590450,TP724 - vv - REELS 2 - HOOK1 -  - 03.09,https://fb.me/22Erryo7fsWQN4Z,03/09/2025,Pausado,R$ 5.792,"1,66%",R$ 102,79,R$ 73,12,15%,"R$ 482,70",5,6%,R$ 1.158,"60,00%",6,"120,00%","R$ 965,40",1,,"R$ 5.792,39",37,1,17%,R$ 5.792
Pausado,120231071762480450,TP672 - vv-creators-esther-caixinhas-1x-h3-faz-sentido -  - 04.08,https://fb.me/1OB36NLOiTBFbbi,04/08/2025,Pausado,R$ 5.179,"1,11%",R$ 54,105,R$ 49,8,8%,"R$ 647,34",6,6%,R$ 863,"33,33%",6,"100,00%","R$ 863,12",,1,,16,1,17%,R$ 5.179
Ativo,120234885862190450,TP796 - vertical hook 3 body 1 cta 2 -  - 06.10,https://fb.me/24ORmoUjJLbaeXQ,06/10/2025,Ativo,R$ 4.118,"1,01%",R$ 105,64,R$ 64,17,27%,"R$ 242,21",15,23%,R$ 275,"53,33%",12,"80,00%","R$ 343,13",,1,,25,1,8%,R$ 4.118
Ativo,120234887730200450,TP791 - vertical hook 8 body 1 cta 2 -  - 06.10,https://fb.me/1QzUnFbj84acfzz,06/10/2025,Ativo,R$ 3.481,"1,07%",R$ 119,59,R$ 59,13,22%,"R$ 267,78",10,17%,R$ 348,"90,00%",5,"50,00%","R$ 696,23",,,,,0,0%,-
Pausado,120236070725110450,TP859 - HOOK1BODY2CTA1V_generico -  - 21.10,https://fb.me/28Y7WKUG0s3nVgC,21/10/2025,Pausado,R$ 2.225,"0,91%",R$ 61,40,R$ 56,4,10%,"R$ 556,27",4,10%,R$ 556,"0,00%",3,"75,00%","R$ 741,69",,,,,0,0%,-
Ativo,773237162108,AD 1,https://www.youtube.com/watch?v=HcGTTPCpoTw,08/09/2025,Ativo,R$ 1.855,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,773237162108,AD 1,https://www.youtube.com/watch?v=Ip1SqCfhrOo,08/09/2025,Ativo,R$ 1.855,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,773237162108,AD 1,https://www.youtube.com/watch?v=UF2aDwrIWzw,08/09/2025,Ativo,R$ 1.855,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,773237162108,AD 1,https://www.youtube.com/watch?v=hNz4BvtFve8,08/09/2025,Ativo,R$ 1.855,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120235997280980450,TP827 - hook 4 body 2 cta 2 -  - 20.10,https://fb.me/1YcNSHtZzzdiKlI,20/10/2025,Ativo,R$ 1.705,"0,89%",R$ 97,25,R$ 68,3,12%,"R$ 568,18",3,12%,R$ 568,"33,33%",1,"33,33%","R$ 1.704,55",,,,,0,0%,-
Ativo,120237696111590450,TP906 - HOOK1BODY1minimal -  - 13.11,https://fb.me/264MGxwZHGmW18Q,13/11/2025,Ativo,R$ 1.671,"0,64%",R$ 56,25,R$ 67,5,20%,"R$ 334,22",1,4%,R$ 1.671,"100,00%",0,"0,00%",,,,,,0,-,-
