"id","empresa","cupom","desconto","site","segmento","created_by","created_at","updated_at"
"063392d3-e298-4554-99ea-c999ee523984","Gk Brand","TURBO15","15% off","https://gkbrand.com.br/","moda","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:51.857Z""","""2025-09-22T20:09:51.857Z"""
"072c8ac3-941c-4d4c-b811-a206ace6251f","Calê","TURBO10","10% off","https://ecale.com.br/","moda","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:50.719Z""","""2025-09-22T20:09:50.719Z"""
"088df43b-9c81-4bd4-9c07-0539b6127b1d","Guday","TURBO20","20% off","https://guday.com.br/","alimentos","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:55.435Z""","""2025-09-22T20:09:55.435Z"""
"0c2d12e6-fe76-459a-95fa-9c4b38d41811","Chiara Café","TURBO10","10%off","https://caffechiara.com.br/","alimentos","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:51.284Z""","""2025-09-22T20:09:51.284Z"""
"16169ca4-ae34-41b4-b6ed-7fa986faa789","Forcell","TURBO20","20% off","https://forcellperformance.com.br/","suplementacao","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:55.988Z""","""2025-09-22T20:09:55.988Z"""
"2317bfc8-a555-487d-9372-b5e1b3ae0b89","LucyDays","TURBODAYS","20% off + Frete grátis","https://lucydays.com/","alimentos","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:52.613Z""","""2025-09-22T20:09:52.613Z"""
"23539d3a-94ce-440d-a51e-7d3be178bb74","Modo On","PRIMEIRACOMPRA","10% off","https://lojamodoon.com.br/","moda","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:53.168Z""","""2025-09-22T20:09:53.168Z"""
"3772de70-e49d-4e08-8d5e-1fe274d51b80","Malloca","turbo15","15% off","https://malloca.com.br/","moda","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:52.798Z""","""2025-09-22T20:09:52.798Z"""
"41a5da7f-c1db-49ad-a0ef-c81965995ff8","Panelas Paula Souza","TURBO10","10% off","https://www.cozinhapaulasouza.com.br/","casa_cozinha","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:54.659Z""","""2025-09-22T20:09:54.659Z"""
"4e5d8467-b993-4c47-8482-8742eb38b537","Catboss","TURBO15","15% off","https://www.catboss.com.br/","pet","1a6248a9-c965-499b-b074-881dfb40b053","""2025-09-22T20:09:50.905Z""","""2025-09-22T20:09:50.905Z"""
