"id","contrato_id","plano_servico_id","quantidade","valor_unitario","valor_total","modalidade","valor_original","valor_negociado","desconto_percentual","tipo_desconto","valor_desconto","valor_final","economia","vigencia_desconto","periodo_desconto","apos_periodo","forma_pagamento","num_parcelas","valor_parcela","observacoes"
"78","69","22","1","1997.00","1997.00","recorrente","1997.00","1997.00","0.00",NULL,"0.00","1997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"415","281","22","1","2500.00","2500.00","recorrente","2750.00","2500.00","9.09",NULL,"0.00","2500.00","250.00","permanente",,"valor_original","avista","2","0.00",NULL
"46","45","26","1","7415.00","7415.00","pontual","5497.00","7415.00","86.52",NULL,"0.00","7415.00","-1918.00","permanente",,"valor_original","avista","2","0.00",NULL
"648","412","39","1","10000.00","10000.00","pontual","10000.00","10000.00","0.00",NULL,"0.00","10000.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"528","345","22","1","2375.00","2375.00","recorrente","2750.00","2375.00","13.64",NULL,"0.00","2375.00","375.00","permanente",,"valor_original","avista","2","0.00",NULL
"50","48","42","1","997.00","997.00","recorrente","1497.00","997.00","33.40",NULL,"0.00","997.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"51","49","39","1","10000.00","10000.00","pontual","10000.00","10000.00","0.00",NULL,"0.00","10000.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"53","51","28","1","2292.45","2292.45","recorrente","2697.00","2292.45","15.00",NULL,"0.00","2292.45","404.55","permanente","3","valor_original","avista","2","0.00",NULL
"54","52","50","1","2000.00","2000.00","recorrente","2500.00","2000.00","20.00",NULL,"0.00","2000.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"336","229","43","1","2000.00","2000.00","recorrente","2497.00","2000.00","19.90",NULL,"0.00","2000.00","497.00","temporario","3","valor_original","avista","2","0.00",NULL
"329","222","27","1","1997.00","1997.00","recorrente","1697.00","1997.00","88.39",NULL,"0.00","1997.00","-300.00","permanente",,"valor_original","avista","2","0.00",NULL
"143","106","24","1","1998.00","1998.00","recorrente","3997.00","1998.00","50.01",NULL,"0.00","1998.00","1999.00","permanente",,"valor_original","avista","2","0.00",NULL
"144","106","38","1","18000.00","18000.00","pontual","20000.00","18000.00","10.00",NULL,"0.00","18000.00","2000.00","permanente",,"valor_original","parcelado","5","0.00",NULL
