id_subtask,cliente,cnpj,servico,valorr,ultima_parcela_recorrente,dias_desde,impacto_estimado_rs
86ad3bu1y,Celip,61778555000153,Creators Recorrente,5000.00,1770692400000,64,10000.00
86acc9u0n,Autenticoco,46788800000110,Creators Recorrente - Scale,3000.00,1767582000000,100,6000.00
86a60bvke,Allo Esquadrias,28334004000125,Performance,3000.00,1740625200000,412,6000.00
86ad09h4t,Reset,52390607000129,Creators Personalizado (Escopo no briefing),3000.00,1768964400000,84,6000.00
86a60cdx5,APD,12709340000175,Performance,2997.00,,0,5994.00
86a61646t,Core,11063576000114,Performance,2997.00,,0,5994.00
86adaedgy,Mpiton.IA,00027470440097,Gestão de performance - Starter,2997.00,1764644400000,134,5994.00
86a83r8cy,OATZ,47366383000180,Social Media,2697.00,,0,5394.00
86a61534k,Pedrazul Editora,17235167000134,Performance,2500.00,1740625200000,412,5000.00
86a8yenvz,OATZ,47366383000180,Performance,2497.00,,0,4994.00
86a94jdqp,Wonderlev,39299898000186,Email Marketing,2197.00,1752721200000,272,4394.00
86a60c0eg,América Rental Car,05493355000183,Performance,2000.00,1740711600000,411,4000.00
86a9w1c1t,Classy Smash,55506107000106,Performance,2000.00,,0,4000.00
86a8a8wq4,INFINITY NUTRITION,01205498000191,Performance,2000.00,1761793200000,167,4000.00
86a5jbz1d,Allo Esquadrias,28334004000125,Social Media,2000.00,1740625200000,412,4000.00
86a68phwb,Kaowz,44188566000164,Performance,1997.00,1740625200000,412,3994.00
86a68phwb,Kaowz,44188566000164,Performance,1997.00,,0,3994.00
86a92f1cc,Sopro,39963224000134,Social Media,1997.00,1764471600000,136,3994.00
86a7ghye0,Instituto Jesus é bom,33971985000151,Performance,1997.00,,0,3994.00
86a8afgrb,Livraria Nossa Senhora Aparecida,59017759000120,Performance,1997.00,1764039600000,141,3994.00
86a613u27,Med2Go,40112951000177,Performance,1997.00,,0,3994.00
86a9rpg53,Bozi,39314539000150,Social Media,1997.00,1761793200000,167,3994.00
86a614key,Noway Drink,55529395000106,Performance,1997.00,1740625200000,412,3994.00
86a7d8yr0,Cepemar,03770522000160,Performance,1996.00,1737514800000,448,3992.00
86a63nwg7,Oliveira Rolamentos,31482789000198,Performance,1800.00,,0,3600.00
86acyvtrr,Open Energias,52059517000150,Social Media,1297.00,,0,2594.00
86a7d55ya,Instituto Versalles,48159042000104,Performance,1000.00,1755226800000,243,2000.00
86a63xack,Pedrazul Editora,17235167000134,E-mail Marketing,1000.00,1740625200000,412,2000.00
86aevadh0,Noway Drink,55529395000106,Broadcast - Starter,1000.00,1740625200000,412,2000.00
