cnpj,ids_clickup_array,nomes_array,count
30442901000102,"[1224002,1224097,1224098]","[""AJ cosméticos"",""Trizzi"",""Naturelle""]",3
43551923000144,"[1223585,1223586,1223775]","[""Metodo Facefit"",""Exercício em Casa"",""Orgânic Beauty""]",3
51468720000117,"[1223292,1223294,1223295]","[""Fenix Beauty"",""Cristiane Alencar"",""Macho Alfa""]",3
09039492000101,"[1223642,1223650]","[""Código 1"",""Estúdio Plugado""]",2
15082919000149,"[1223463,1223696]","[""Mobgran"",""Glyvio""]",2
21102007000194,"[1223676,1224045]","[""WOW"",""Central do Franqueado""]",2
21962719000183,"[1224055,1224127]","[""Universidade paralela"",""Casa Bernardi - Giórgia Dentista""]",2
27479498000173,"[1223391,1223402]","[""ORIS"",""Produteca""]",2
00000000000001,"[1223312,1224154]","[""Saltz Michelson"",""FG Bolsas""]",2
28442758000107,"[1223618,1223620]","[""Living Proof"",""Br&Co""]",2
28482230001125,"[1223435,1223456]","[""Scardua"",""Porto Livre ""]",2
42198966000125,"[1223087,1223089]","[""Aliviah"",""Force Coffee""]",2
44887788000175,"[1223750,1223764]","[""Lucky Hackers"",""Dr. Inteligente""]",2
46520941000157,"[1223248,1223251]","[""Mandoaê"",""Crilancha""]",2
27554727000177,"[1224176,1224177]","[""Imóvel Periciado"",""GoGlass""]",2
00021897971877,"[1223349,1223444]","[""Burguesinha"",""Burguesinha""]",2
08588232000114,"[1224106,1224193]","[""Insalata Prima"",""Verdureira""]",2
