cliente,cnpj,status_cup,data_inativacao_estimada,parcela_id,data_quitacao,valor_pago
Abetopine ,52322964000150,cancelado/inativo,1747191600000,4775cafb-2c30-46b3-8640-28e85528801f,1756868400000,1672.83
Alloe,31941662000190,cancelado/inativo,1760583600000,18e78316-f35c-4ea5-8093-2b2eec228c94,1770606000000,2953.03
Alloe,31941662000190,cancelado/inativo,1760583600000,c3fac78a-3407-4d33-b09d-330104c733ca,1770606000000,2953.03
AM2 Suplementos,57412826000185,cancelado/inativo,1746414000000,057445c7-62b7-43d4-a54a-b3abdf3153f0,1756782000000,1425.63
AM2 Suplementos,57412826000185,cancelado/inativo,1746414000000,5767bddb-f1cf-48b0-8959-d8e31c96949a,1761188400000,1425.63
AM2 Suplementos,57412826000185,cancelado/inativo,1746414000000,a3427392-2d04-411a-bc46-7eefd5717bd0,1754622000000,1425.63
AM2 Suplementos,57412826000185,cancelado/inativo,1746414000000,becf5fa6-14e4-43dc-992f-55c8ad43b33e,1763434800000,1425.62
AM2 Suplementos,57412826000185,cancelado/inativo,1746414000000,d33ae295-74a4-42ad-80cb-73b623baad11,1761793200000,1425.63
Amalfi Gelateria,62404604000150,cancelado/inativo,1767668400000,69cfbbfc-71d5-4d52-930e-dd857c713ab5,1771988400000,2000.00
Amalfi Gelateria,62404604000150,cancelado/inativo,1767668400000,9933c66b-0ecc-409b-9f31-ec57026fcdb5,1772074800000,2000.00
Ano Zero,00649839000155,cancelado/inativo,1769396400000,90b78095-25f1-490b-a38b-746052cbaf3c,1772420400000,1248.50
Ano Zero,00649839000155,cancelado/inativo,1769396400000,a68deee4-5981-4981-a346-e306053e10e9,1774926000000,1248.50
Apparel Plug,53042649000131,cancelado/inativo,1768532400000,8ca24f00-bf2b-42b8-b992-f2cd9aca058f,1772074800000,500.00
Argalit,22280114000175,cancelado/inativo,1754881200000,e2188a0e-cc0c-4a0e-b400-67d8b8aac9d1,1757991600000,1474.54
Argalit,22280114000175,cancelado/inativo,1754881200000,ed58248c-dd45-4c29-997c-de8aa4d70f15,1762225200000,1474.54
Audax,50214045000137,cancelado/inativo,1754449200000,426739c3-75f2-4c24-9412-53d99258fb25,1757646000000,1967.04
Beleza do Futuro,52505247000163,cancelado/inativo,1746154800000,5aa288fe-eea4-467a-8bf7-ee699016ed01,1769050800000,2200.00
Bellagio,40804693000190,cancelado/inativo,1738897200000,31d676d6-6a2c-11ef-8e56-ff7db52c0993,1742958000000,2997.00
Bellagio,40804693000190,cancelado/inativo,1738897200000,6648e778-6a2c-11ef-8e3f-d3989376e269,1741662000000,714.29
Bellagio,40804693000190,cancelado/inativo,1738897200000,664d7ebe-6a2c-11ef-b6c9-3711c0eedda4,1743994800000,703.58
Bellagio,40804693000190,cancelado/inativo,1738897200000,92dbc626-a2b6-11ef-bcfa-6b56df9dc70d,1742180400000,1000.00
Bremenkamp,04920643000104,cancelado/inativo,1740538800000,015b6015-3a3a-4d19-a0ab-fcb702849d0a,1745550000000,1967.04
Brutali,48472811000111,cancelado/inativo,1744858800000,055c884a-42de-48ce-bb7f-667bc7542cca,1748314800000,983.52
Brutali,48472811000111,cancelado/inativo,1744858800000,0ab08ac1-e984-4e5d-8dbf-61b7d6ae7717,1749092400000,351.79
Brutali,48472811000111,cancelado/inativo,1744858800000,5593321b-5c2c-4683-8f9e-f38bf4b5d25f,1750647600000,351.79
Brutali,48472811000111,cancelado/inativo,1744858800000,640fad29-ef83-4c1d-8c25-b17894b4e965,1750647600000,351.79
Camisaria Duque,60914300000108,cancelado/inativo,1759806000000,10fd34e1-3860-439d-b764-4bedeae57f39,1764644400000,3442.82
Catboss,30054147000125,cancelado/inativo,1740538800000,dfb7097d-c73a-446a-a25e-8bf5af211054,1743476400000,2459.54
Cedisa,27244680000145,cancelado/inativo,1760583600000,2c408872-e6a6-407c-a186-497f6e262244,1764126000000,1997.00
Chanoyu,41516016000139,cancelado/inativo,1744858800000,693b2166-a290-11ef-8580-d3e5d695d173,1753066800000,1967.04
Chiara Café,33493997000118,cancelado/inativo,1733281200000,78340945-1edb-4290-99b1-58a81968600e,1736218800000,367.31
Chocolateria Brasil ,09573310000170,cancelado/inativo,1767582000000,1a993692-ce20-4ce1-9f44-1d0f2236c4e4,1776049200000,1400.00
Conasol Fortlev Solar,32270838000272,cancelado/inativo,1760497200000,90d30dd3-2ca6-4f68-be05-09d80bf03304,1764126000000,3497.00
Costa Solar,30634856000180,cancelado/inativo,1732071600000,0489af25-61da-4cdb-9eff-66b0218c7559,1746068400000,1871.50
Costa Solar,30634856000180,cancelado/inativo,1732071600000,77f2fbb4-863b-11ef-8363-9b901e6ab187,1743476400000,1871.50
Costa Solar,30634856000180,cancelado/inativo,1732071600000,781ad95e-863b-11ef-983f-8762df4467ab,1740711600000,1900.00
Costa Solar,30634856000180,cancelado/inativo,1732071600000,7f60dde2-b2a5-4533-bccc-d2ca34b0e7f5,1747969200000,1871.50
Costa Solar,30634856000180,cancelado/inativo,1732071600000,d4712f8f-9401-4dda-b1ff-1913a3e789b0,1737428400000,1900.00
Costa Solar,30634856000180,cancelado/inativo,1732071600000,e2d5c0fd-5eea-4427-b927-f52dfd03b58b,1750388400000,1871.50
Dramm Drywall,03874242000100,cancelado/inativo,1758078000000,9cf1ab6a-d251-4b51-a22b-6f869bbf57eb,1761620400000,2200.00
Drycat Gin,30456361000108,cancelado/inativo,1769482800000,61b0cdf0-e40a-4063-b4fd-4bd1684afa3f,1773716400000,1997.00
Emagresim,47896524000176,cancelado/inativo,1757127600000,552e2e8a-f927-4213-9c8c-808eac53ff12,1761534000000,1148.18
Emagresim,47896524000176,cancelado/inativo,1757127600000,79daceb1-9e67-47c4-857d-b6b2250ab037,1764126000000,1148.18
Emellus,45107680000185,cancelado/inativo,1745982000000,02ef234d-a95a-4aae-a799-8153cc281405,1749178800000,5000.00
Engesolar,32182355000135,cancelado/inativo,1732676400000,bcd8f8ba-908f-11ef-9e77-3fcdb11a194d,1738206000000,2700.00
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,337567d6-fe9a-4248-997a-5aa003e29273,1763521200000,982.04
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,386253af-a6c8-4254-bd18-9d8cb4223fd3,1758682800000,982.04
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,63cccfa9-61d4-4033-9c1b-012a31f007fe,1770778800000,997.00
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,79c6ace4-22f2-48ea-96fb-6646cb1077a7,1773975600000,997.00
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,a794d10b-5b14-474a-af1f-954748f355d8,1768964400000,982.04
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,a902b13f-3d6b-439a-a066-c3fe8a26f2b7,1765940400000,982.04
